date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho,days_to_expiration
2024-01-08,AAPL,2024-01-19,177.5,Call,8.65,8.85,0.2229,0.8867,0.0267,-0.0857,0.0618,0.0469,11 days
2024-01-08,AAPL,2024-01-19,182.5,Call,4.4,4.55,0.1915,0.7142,0.0551,-0.1142,0.1094,0.0385,11 days
2024-01-08,AAPL,2024-01-19,185.0,Call,2.79,2.84,0.1841,0.5641,0.0664,-0.1212,0.1268,0.0306,11 days
2024-01-08,AAPL,2024-01-19,190.0,Call,0.77,0.8,0.1755,0.2395,0.0549,-0.0862,0.1,0.0131,11 days
2024-01-08,AAPL,2024-01-19,192.5,Call,0.35,0.38,0.1769,0.1297,0.037,-0.0582,0.068,0.0071,11 days
2024-01-08,AAPL,2024-01-19,197.5,Call,0.08,0.09,0.1916,0.0351,0.0125,-0.0227,0.0249,0.0019,11 days
2024-01-08,AAPL,2024-01-19,200.0,Call,0.04,0.05,0.2022,0.0191,0.0071,-0.0143,0.015,0.001,11 days
2024-01-08,AAPL,2024-01-19,205.0,Call,0.01,0.02,0.2331,0.0081,0.0029,-0.0078,0.0071,0.0004,11 days
2024-01-08,AAPL,2024-01-19,210.0,Call,0.01,0.02,0.2826,0.0068,0.002,-0.008,0.0061,0.0003,11 days
2024-01-08,AAPL,2024-01-19,212.5,Call,0.01,0.01,0.4146,0.0339,0.0056,-0.0466,0.0242,0.0018,11 days
2024-01-08,AAPL,2024-01-19,217.5,Call,0.0,0.01,0.4698,0.0295,0.0044,-0.047,0.0216,0.0016,11 days
2024-01-08,AAPL,2024-01-19,222.5,Call,0.0,0.01,0.525,0.0268,0.0036,-0.0484,0.0199,0.0014,11 days
2024-01-08,AAPL,2024-01-19,227.5,Call,0.0,0.01,0.5802,0.0251,0.0031,-0.0505,0.0189,0.0013,11 days
2024-01-08,AAPL,2024-01-19,230.0,Call,0.0,0.01,0.6078,0.0245,0.0029,-0.0519,0.0185,0.0013,11 days
2024-01-08,AAPL,2024-01-19,235.0,Call,0.0,0.01,0.7243,0.0356,0.0033,-0.0842,0.0252,0.0018,11 days
2024-01-08,AAPL,2024-01-19,240.0,Call,0.0,0.01,0.7405,0.0271,0.0026,-0.0685,0.0201,0.0014,11 days
2024-01-08,AAPL,2024-02-02,130.0,Call,55.75,56.5,0.5944,0.9915,0.0007,-0.0321,0.0111,0.0875,25 days
2024-01-08,AAPL,2024-02-02,135.0,Call,50.75,51.5,0.5219,0.9923,0.0008,-0.0303,0.0102,0.091,25 days
2024-01-08,AAPL,2024-02-02,140.0,Call,45.8,46.55,0.4934,0.9885,0.0012,-0.0346,0.0145,0.0939,25 days
2024-01-08,AAPL,2024-02-02,145.0,Call,40.85,41.6,0.4575,0.9842,0.0017,-0.0384,0.0191,0.0968,25 days
2024-01-08,AAPL,2024-02-02,150.0,Call,35.9,36.65,0.4171,0.9791,0.0024,-0.0417,0.0243,0.0995,25 days
2024-01-08,AAPL,2024-02-02,155.0,Call,31.1,31.55,0.3735,0.973,0.0034,-0.0446,0.0302,0.1021,25 days
2024-01-08,AAPL,2024-02-02,160.0,Call,26.2,26.65,0.34,0.9601,0.0052,-0.0508,0.0417,0.1038,25 days
2024-01-08,AAPL,2024-02-02,165.0,Call,21.4,21.8,0.3116,0.9365,0.0082,-0.0601,0.0604,0.1042,25 days
2024-01-08,AAPL,2024-02-02,170.0,Call,16.75,17.1,0.2886,0.8936,0.013,-0.0734,0.089,0.1019,25 days
2024-01-08,AAPL,2024-02-02,175.0,Call,12.4,12.7,0.2719,0.8188,0.0199,-0.0902,0.1279,0.0954,25 days
2024-01-08,AAPL,2024-02-02,180.0,Call,8.45,8.6,0.2512,0.7095,0.028,-0.1017,0.1663,0.0843,25 days
2024-01-08,AAPL,2024-02-02,185.0,Call,5.25,5.4,0.2423,0.5547,0.0335,-0.1074,0.1918,0.0668,25 days
2024-01-08,AAPL,2024-02-02,190.0,Call,2.82,2.91,0.2295,0.3812,0.0342,-0.0949,0.185,0.0464,25 days
2024-01-08,AAPL,2024-02-02,195.0,Call,1.32,1.39,0.2225,0.2237,0.0276,-0.0705,0.1451,0.0274,25 days
2024-01-08,AAPL,2024-02-02,200.0,Call,0.56,0.6,0.2206,0.114,0.018,-0.0443,0.0936,0.014,25 days
2024-01-08,AAPL,2024-02-02,205.0,Call,0.24,0.25,0.2244,0.0542,0.0101,-0.0254,0.0534,0.0067,25 days
2024-01-08,AAPL,2024-02-02,210.0,Call,0.1,0.12,0.2327,0.0261,0.0053,-0.0144,0.0294,0.0032,25 days
2024-01-08,AAPL,2024-02-02,215.0,Call,0.05,0.06,0.2445,0.0134,0.0029,-0.0085,0.0167,0.0016,25 days
2024-01-08,AAPL,2024-02-02,220.0,Call,0.02,0.04,0.2578,0.0074,0.0016,-0.0053,0.0099,0.0009,25 days
2024-01-08,AAPL,2024-02-02,225.0,Call,0.01,0.02,0.2754,0.0048,0.001,-0.0038,0.0068,0.0006,25 days
2024-01-08,AAPL,2024-02-02,230.0,Call,0.01,0.02,0.3036,0.0044,0.0008,-0.0039,0.0063,0.0005,25 days
2024-01-08,AAPL,2024-02-02,235.0,Call,0.01,0.02,0.3308,0.0041,0.0007,-0.004,0.0058,0.0005,25 days
2024-01-08,AAPL,2024-02-02,240.0,Call,0.0,0.02,0.3572,0.0038,0.0006,-0.004,0.0055,0.0004,25 days
2024-01-08,AAPL,2024-02-23,130.0,Call,55.3,57.1,0.4402,0.9915,0.0007,-0.026,0.015,0.1606,46 days
2024-01-08,AAPL,2024-02-23,135.0,Call,50.35,52.2,0.3621,0.995,0.0005,-0.0233,0.0093,0.1677,46 days
2024-01-08,AAPL,2024-02-23,140.0,Call,45.3,47.15,0.3692,0.988,0.0012,-0.0284,0.0205,0.1722,46 days
2024-01-08,AAPL,2024-02-23,145.0,Call,41.05,42.2,0.3934,0.9696,0.0026,-0.0397,0.0452,0.1739,46 days
2024-01-08,AAPL,2024-02-23,150.0,Call,35.55,37.2,0.2527,0.9933,0.0011,-0.0252,0.0121,0.1861,46 days
2024-01-08,AAPL,2024-02-23,155.0,Call,30.45,32.6,0.2671,0.9774,0.003,-0.0323,0.0352,0.1885,46 days
2024-01-08,AAPL,2024-02-23,160.0,Call,25.95,28.05,0.2984,0.9337,0.0065,-0.049,0.0846,0.184,46 days
2024-01-08,AAPL,2024-02-23,165.0,Call,21.45,23.3,0.283,0.8989,0.0095,-0.0572,0.1174,0.182,46 days
2024-01-08,AAPL,2024-02-23,170.0,Call,16.85,19.05,0.2691,0.8467,0.0133,-0.066,0.1556,0.1751,46 days
2024-01-08,AAPL,2024-02-23,175.0,Call,12.45,15.05,0.2524,0.7764,0.018,-0.0733,0.1957,0.1645,46 days
2024-01-08,AAPL,2024-02-23,180.0,Call,8.55,10.5,0.2196,0.6914,0.0244,-0.073,0.2342,0.1501,46 days
2024-01-08,AAPL,2024-02-23,185.0,Call,5.8,6.55,0.2046,0.5609,0.0294,-0.0723,0.2595,0.124,46 days
2024-01-08,AAPL,2024-02-23,190.0,Call,3.8,4.25,0.2097,0.4179,0.0284,-0.0696,0.2555,0.0933,46 days
2024-01-08,AAPL,2024-02-23,195.0,Call,2.11,2.48,0.2047,0.2841,0.0251,-0.057,0.223,0.0634,46 days
